simple,complex,,
two shoe,two shoes,Two shoe,Two shoes
two foot,two feet,Two foot,Two feet
daddy car,daddy's car,Daddy car,Daddy's car
kitty sleep,kitty sleeping,Kitty sleep,Kitty sleeping
I make tower,I making tower,I make tower,I making tower
I fall down,I fell down,I fall down,I fell down
more cookie,more cookies,More cookie,More cookies
these my tooth,these my teeth,These my tooth,These my teeth
baby blanket,baby's blanket,Baby blanket,Baby's blanket
doggie kiss me,doggie kissed me,Doggie kiss me,Doggie kissed me
daddy pick me up,daddy picked me up,Daddy pick me up,Daddy picked me up
kitty go away,kitty went away,Kitty go away,Kitty went away
doggie table,doggie on table,Doggie table,Doggie on table
that my truck,that's my truck,That my truck,That's my truck
baby crying,baby is crying,Baby crying,Baby is crying
you fix it,can you fix it,You fix it,Can you fix it
read me story Mommy,read me a story Mommy,Read me story mommy,Read me a story mommy
no wash dolly,don't wash dolly,No wash dolly,Don't wash dolly
want more juice,want juice in there,Want more juice,Want juice in there
there a kitty,there's a kitty,There a kitty,There's a kitty
go bye-bye,wanna go bye-bye,Go bye-bye,Wanna go bye-bye
where mommy go,where did mommy go,Where mommy go,Where did mommy go
coffee hot,that coffee hot,Coffee hot,That coffee hot
I no do it,I can't do it,I no do it,I can't do it
I like read stories,I like to read stories,I like read stories,I like to read stories
don't read book,don't want you read that book,Don't read book,Don't want you read that book
turn on light,turn on light so I can see,Turn on light,Turn on light so i can see
I want that,I want that one you got,I want that,I want that one you got
want cookies,want cookies and milk,Want cookies,Want cookies and milk
cookie mommy,cookie for mommy,Cookie mommy,Cookie for mommy
baby want eat,baby want to eat,Baby want eat,Baby want to eat
lookit me,lookit me dancing,Lookit me,Lookit me dancing
lookit,lookit what I got,Lookit,Lookit what i got
where's my dolly,where's my dolly name Sam,Where's my dolly,Where's my dolly name sam
we made this,me and Paul made this,We made this,Me and paul made this
I sing song,I sing song for you,I sing song,I sing song for you
baby crying,baby crying cuz she's sad,Baby crying,Baby crying cuz she's sad
