gender,age_bin,n,lex_fit_pvalue,lex_fit_cfi,lex_fit_tli,lex_fit_rmsea,lex_fit_srmr,syn_fit_pvalue,syn_fit_cfi,syn_fit_tli,syn_fit_rmsea,syn_fit_srmr,dx
Female,16,529,0,0.9273597902451496,0.9141524793806314,0.1337999933753599,0.033660353652924795,1.246125425069522e-11,0.939347146272535,0.8989119104542249,0.11360304148004037,0.04453007745158489,NA
Female,20,239,0,0.9297222393291544,0.916944464661728,0.14386505876474834,0.028377105565455345,0.4071443696517727,0.9996004986672946,0.9993341644454911,0.012437292595168417,0.020351529626068694,NA
Female,24,227,0,0.9016919932528604,0.8838178102079259,0.1714466564796861,0.03365681939811024,0.0023109132172141056,0.9871215226211358,0.9785358710352263,0.09033653249168612,0.0162555775743262,NA
Female,28,433,0,0.9142301363001614,0.8986356156274634,0.14647588624129187,0.03653830146130535,2.5296513540173926e-4,0.9909278770529389,0.9848797950882315,0.07581125328269693,0.013783193004347332,NA
Female,33-36,178,0,0.8922579734969093,0.872668514132711,0.15525365120768886,0.03883975873034324,0.06561651203293051,0.9937209779690036,0.9895349632816728,0.06639035851604065,0.013973721887392942,NA
Male,16,574,0,0.8990540960323736,0.880700295310987,0.14759897066211636,0.04613299027830281,1.967205113806436e-6,0.9733820577134822,0.9556367628558036,0.08138406651424665,0.029736968280759963,NA
Male,20,230,0,0.9183716704710057,0.9035301560111885,0.15051622607042983,0.03693029156745457,2.607036808655039e-11,0.9414553873301893,0.9024256455503155,0.16997854545091715,0.03610150583563059,NA
Male,24,222,0,0.9168902585132285,0.9017793964247245,0.16394632991225971,0.03128565675983134,3.131333212954557e-4,0.9796555722321244,0.9660926203868739,0.1045935304122796,0.024200155010642335,NA
Male,28,498,0,0.9201100831061627,0.9055846436709195,0.1490737819086814,0.03380495844163082,9.266722273071348e-5,0.9919126158254052,0.9865210263756753,0.07454888460319635,0.011603076033290832,NA
Male,33-36,186,0,0.9023983430867671,0.8846525872843612,0.15351031016702593,0.035191755686690473,6.565595622731735e-8,0.9662886714826185,0.9438144524710309,0.15866403629146686,0.020607169755918316,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,16,582,0,0.9261355772817389,0.9127056822420551,0.1344701531049918,0.03555564532067148,1.1102230246251565e-16,0.939546875551255,0.8992447925854251,0.12971505248560397,0.041159776431197496,FALSE
NA,20,238,0,0.9197902338614306,0.9052066400180543,0.15227932373808484,0.031539518086925816,1.1546716135046875e-4,0.9781612286421558,0.9636020477369265,0.10664765988950076,0.02238469303067425,FALSE
NA,24,238,0,0.9200381866759207,0.9054996751624518,0.1529062186586048,0.031586573840686416,0.010613039087790432,0.9904733018761044,0.9841221697935073,0.07638592520440501,0.016078901898962005,FALSE
NA,28,564,0,0.9106390124599434,0.894391560179933,0.14596086968083039,0.038046057535307806,4.8085945214448866e-4,0.993504240236384,0.9891737337273065,0.06396056332958068,0.01131783650924793,FALSE
NA,33-36,205,0,0.9036078126283887,0.8860819603790049,0.1444179039067894,0.04084860146515686,4.7568869642589107e-4,0.9829249510357815,0.9715415850596357,0.10616071158716305,0.01722342094994349,FALSE
NA,16,102,0,0.8591622825596454,0.8335554248432173,0.16457966328279472,0.06822009555959424,0.6112327861525989,1,1.0281222957912493,0,0.037783662250505834,TRUE
NA,20,51,4.965361677378155e-9,0.9098751728611045,0.8934888406540327,0.15429922448491037,0.04153064557598804,0.0367070662474176,0.8142233983117568,0.6903723305195948,0.139016269905997,0.09246958678133228,TRUE
NA,24,51,0,0.8752694179263993,0.8525911302766538,0.2136983708859527,0.035085833742090865,0.0030913644600206736,0.928171293500716,0.8802854891678601,0.1860811488758453,0.05543717370425181,TRUE
NA,28,97,0,0.8758252271107952,0.8532479956763944,0.19625982739668105,0.03987791144258131,0.008372529425416442,0.9758184121620864,0.9596973536034774,0.12279823508101759,0.024562512731775444,TRUE
NA,33-36,56,0,0.8627146190824475,0.8377536407338015,0.19020992306226128,0.044637154847454986,0.3055297736092413,0.996070824083171,0.9934513734719518,0.056007016231544124,0.018784077887167468,TRUE
NA,16,419,0,0.8897140768337458,0.8696620908035178,0.15534888274992859,0.04346985223256531,0.017953474319854723,0.9799186310280951,0.9665310517134917,0.053992918905080296,0.0305900558003393,Unknown
NA,20,180,0,0.9195584367782402,0.9049326980106476,0.15338049101548704,0.034251473212406756,0.17507949830594716,0.9928070589264013,0.9880117648773354,0.048001344675400834,0.03361353717348374,Unknown
NA,24,160,0,0.9082804092752574,0.8916041200525769,0.16873436877534154,0.033082555136025975,0.05429423307941217,0.9907303001958099,0.9845505003263498,0.07294004813390194,0.018669767548524743,Unknown
NA,28,270,0,0.9447061818865062,0.9346527604113256,0.1196372583107271,0.02956567932719978,0.005809988843008984,0.9914091954529416,0.9856819924215694,0.07638268882945487,0.015082089967732405,Unknown
NA,33-36,103,0,0.8814215263990929,0.8598618039262006,0.1636973268317699,0.0448572462901873,2.6522824289054725e-6,0.9488744513985823,0.9147907523309705,0.19012542370121407,0.0313004930873663,Unknown
