"","D_MALE","D_FIRSTB","D_MOMCOL","D_AGE_C","D_AGE_C2","D_AGCMLE","D_AC2MLE"
"L_ACTION",0,0,0,0,1,0,0
"L_ANIMAL",0,0,0,0,0,0,0
"L_BODYP",1,0,0,1,0,0,0
"L_CLOTH",0,0,0,0,0,0,0
"L_DESCRB",0,0,0,1,0,0,0
"L_FOOD",0,0,0,0,0,0,0
"L_ROOMS",0,0,0,0,0,0,0
"L_GAMES",0,0,0,0,0,0,0
"L_HOUSEH",1,0,0,0,0,0,0
"L_LOCATE",0,0,0,1,0,0,0
"L_OUTSDE",1,0,0,0,0,0,0
"L_PEOPLE",0,0,0,1,0,0,0
"L_PLACES",0,0,0,0,0,0,0
"L_SOUNDS",0,0,0,1,1,0,0
"L_TOYS",0,0,0,0,0,0,0
"L_VEHICL",0,0,0,1,0,1,0
"S_CONJ",1,0,0,1,1,0,0
"S_HELPV",0,0,0,1,0,0,0
"S_PRON",1,0,0,1,0,0,0
"S_QUANT",0,0,0,1,0,1,0
"S_QWORDS",0,0,0,1,0,0,0
"S_TIME",1,1,0,1,0,0,0
"S_WF_N",0,0,0,0,1,0,0
"S_WF_V",1,0,0,1,0,0,0
"S_WE_N",0,0,1,0,0,0,0
"S_WE_V",0,0,1,1,0,0,0
"S_COMPLX",1,0,1,1,0,0,0
