MR1,MR2
0.9392675489668421,-0.21829530415184834
0.8487453134679268,0.08426971924906473
0.7505109066030363,0.08969309198458719
0.9490079225935873,-0.11111910060361457
0.7844122113949652,0.2014680406613708
0.6758973040334018,0.30520219309293073
0.6365866417218324,0.3312135995805978
0.2193815082621976,0.7210707028744754
0.5232527571820413,0.4858224239134369
0.48551928280248186,0.489627929994047
0.7375585083336476,0.03993211414529435
0.7655903587986795,0.11673902019427157
0.044986690572837496,0.9227793267777404
-0.16902724520622914,0.9327973752600102
0.17464691535508114,0.8072533825495418
0.25238606948298503,0.49603109586329885
-0.09096968184094678,0.6903240079828082
0.3662376914942234,0.5227559225904217
0.13269275837268968,0.693850790067269
