MR1,MR2,MR3
0.9011095805414929,-0.16591626411153304,-0.02593818310003712
0.9876167510120744,-0.031290428283230025,-0.014948546882004275
1.0052950907297025,-0.08596723011646398,0.0030156663737695294
0.945553650257532,0.012983354544730187,0.017571568886282467
0.9279169853516547,0.03529134396426542,0.043935760719445674
0.8851220774606458,0.09183446620680373,0.019308470462791594
1.0437535435408176,-0.1356001578987673,0.03015686060548263
0.8966698567446184,0.06380174767107046,0.057152773338054255
0.7775249348857124,0.20269377910586728,0.040861666141635195
0.8420492021830405,0.15274835326027533,0.011817220194622903
0.657083698150148,0.3341183452971811,0.02675651318014656
0.6304778911371008,0.3402005939426711,0.05610020980783538
0.9020636777736388,0.020447481819501206,0.03980536556473725
0.660980749345293,0.34569189058914257,0.020937331640528564
0.6232211679927803,0.4017203354506892,0.001980501546088656
0.18670517999096195,0.7454678870958131,0.0479894663866319
0.1801149829355451,0.7909525795488316,0.03247412811226644
0.1341465066618544,0.769689967894092,0.028370969975657273
0.3625729110334112,0.6543536668227306,0.0010227783879167562
0.13941521734911297,0.8381875009957772,0.01166579927423797
0.04605820044660672,0.9096278142743044,0.031318688529037186
-0.13124928238164552,0.9473311512499664,0.029221828358470064
0.30317749248069903,0.17495332128869984,0.43240050993594104
-0.04251523360690973,0.6302880215619839,0.425596203049565
0.11412139224815954,-0.16117599733787258,0.7707343138459497
-0.054800017805575973,0.09840534039757787,0.7425265917032852
0.09917989970220567,0.5341522376433606,0.36022173900935356
